domain,records
17-httpsvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
17.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
18.scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
18comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
18kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
19.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
19comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2.newsvirus.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2.newvirus.kaspersky.comvirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx12.kaspersky-labs.com.', '10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
2.scannervirusdesk.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
20.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
20.newsvirus.kaspersky.com,"{'A': ['77.74.178.24'], 'AAAA': ['64:ff9b::4d4a:b218'], 'MX': ['10 mx9.kaspersky-labs.com.', '10 mx11.kaspersky-labs.com.', '10 mx12.kaspersky-labs.com.'], 'NS': [], 'TXT': [], 'CNAME': []}"
